# Constructed from biom file
#OTU ID	M.T1.R1.S1	M.T1.R1.S2	M.T1.R1.S3	M.T1.R2.S1	M.T1.R2.S2	M.T1.R2.S3	M.T1.R3.S1	M.T1.R3.S2	M.T1.R3.S3	M.T1.R4.S1	M.T1.R4.S2	M.T1.R4.S3	M.T2.R1.S1	M.T2.R1.S2	M.T2.R1.S3	M.T2.R2.S1	M.T2.R2.S2	M.T2.R2.S3	M.T2.R3.S1	M.T2.R3.S2	M.T2.R4.S1	M.T2.R4.S2	M.T2.R4.S3	M.T3.R1.S1	M.T3.R1.S2	M.T3.R1.S3	M.T3.R2.S1	M.T3.R2.S2	M.T3.R2.S3	M.T3.R3.S1	M.T3.R3.S2	M.T3.R3.S3	M.T3.R4.S1	M.T3.R4.S2	M.T3.R4.S3	M.T4.R1.S1	M.T4.R1.S2	M.T4.R1.S3	M.T4.R2.S1	M.T4.R2.S2	M.T4.R2.S3	M.T4.R3.S1	M.T4.R3.S2	M.T4.R3.S3	M.T4.R4.S1	M.T4.R4.S2	M.T4.R4.S3
k__Fungi;__;__;__;__;__	138.0	105.0	72.0	83.0	38.0	86.0	88.0	104.0	230.0	59.0	93.0	109.0	45.0	122.0	86.0	106.0	109.0	118.0	80.0	123.0	66.0	100.0	100.0	71.0	130.0	72.0	55.0	67.0	97.0	93.0	94.0	67.0	147.0	114.0	119.0	75.0	110.0	100.0	108.0	104.0	71.0	131.0	53.0	70.0	98.0	98.0	160.0
k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes;o__GS16;f__unidentified;g__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;__;__;__;__	0.0	4.0	1.0	13.0	6.0	10.0	1.0	3.0	0.0	6.0	2.0	1.0	0.0	5.0	5.0	14.0	13.0	8.0	9.0	4.0	3.0	6.0	5.0	0.0	2.0	3.0	8.0	3.0	7.0	7.0	3.0	11.0	12.0	2.0	0.0	0.0	3.0	0.0	6.0	2.0	1.0	4.0	5.0	0.0	3.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	1.0	8.0	2.0	0.0	3.0	0.0	6.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	5.0	1.0	3.0	0.0	3.0	5.0	2.0	54.0	7.0	15.0	1.0	2.0	6.0	1.0	4.0	4.0	7.0	3.0	9.0	5.0	1.0	3.0	1.0	2.0	17.0	3.0	1.0	5.0	6.0	0.0	1.0	3.0	10.0	7.0	4.0	0.0	9.0	4.0	2.0	2.0	3.0	6.0	7.0	0.0	3.0	2.0	12.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycocentrospora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Septoria	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	3.0	9.0	2.0	5.0	2.0	1.0	3.0	1.0	0.0	4.0	5.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Kabatiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Eremomycetaceae;g__Arthrographis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Minutisphaerales;f__Minutisphaeraceae;g__Minutisphaera	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;__;__	7.0	13.0	11.0	8.0	6.0	11.0	8.0	4.0	11.0	9.0	8.0	6.0	2.0	6.0	20.0	4.0	9.0	5.0	18.0	9.0	10.0	4.0	4.0	2.0	7.0	12.0	6.0	7.0	6.0	8.0	6.0	5.0	12.0	8.0	5.0	5.0	13.0	4.0	8.0	11.0	5.0	17.0	6.0	0.0	9.0	66.0	29.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Coniothyrium	0.0	0.0	0.0	2.0	0.0	1.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Corynesporascaceae;g__Corynespora	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0	2.0	9.0	4.0	3.0	0.0	2.0	5.0	0.0	1.0	1.0	0.0	4.0	0.0	4.0	5.0	8.0	4.0	7.0	5.0	4.0	0.0	3.0	5.0	10.0	11.0	7.0	7.0	16.0	8.0	7.0	0.0	5.0	3.0	12.0
