# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,M.T1.R1.S1.16S.S50,M.T1.R1.S2.16S.S62,M.T1.R1.S3.16S.S74,M.T1.R2.S1.16S.S86,M.T1.R2.S2.16S.S3,M.T1.R2.S3.16S.S15,M.T1.R3.S1.16S.S27,M.T1.R3.S2.16S.S39,M.T1.R3.S3.16S.S51,M.T1.R4.S1.16S.S63,M.T1.R4.S2.16S.S75,M.T1.R4.S3.16S.S87,M.T2.R1.S1.16S.S53,M.T2.R1.S2.16S.S65,M.T2.R1.S3.16S.S77,M.T2.R2.S1.16S.S89,M.T2.R2.S2.16S.S6,M.T2.R2.S3.16S.S18,M.T2.R3.S1.16S.S30,M.T2.R3.S2.16S.S42,M.T2.R3.S3.16S.S54,M.T2.R4.S1.16S.S66,M.T2.R4.S2.16S.S78,M.T2.R4.S3.16S.S90,M.T3.R1.S1.16S.S56,M.T3.R1.S2.16S.S68,M.T3.R1.S3.16S.S80,M.T3.R2.S1.16S.S92,M.T3.R2.S2.16S.S9,M.T3.R2.S3.16S.S21,M.T3.R3.S1.16S.S33,M.T3.R3.S2.16S.S45,M.T3.R3.S3.16S.S57,M.T3.R4.S1.16S.S69,M.T3.R4.S2.16S.S81,M.T3.R4.S3.16S.S93,M.T4.R1.S1.16S.S59,M.T4.R1.S2.16S.S71,M.T4.R1.S3.16S.S83,M.T4.R2.S1.16S.S95,M.T4.R2.S2.16S.S12,M.T4.R2.S3.16S.S24,M.T4.R3.S1.16S.S36,M.T4.R3.S2.16S.S48,M.T4.R3.S3.16S.S60,M.T4.R4.S1.16S.S72,M.T4.R4.S2.16S.S193,M.T4.R4.S3.16S.S203,U.T1.R1.S1.16S.S1,U.T1.R1.S2.16S.S13,U.T1.R1.S3.16S.S25,U.T1.R2.S1.16S.S37,U.T1.R2.S2.16S.S49,U.T1.R2.S3.16S.S61,U.T1.R3.S1.16S.S73,U.T1.R3.S2.16S.S85,U.T1.R3.S3.16S.S2,U.T1.R4.S1.16S.S14,U.T1.R4.S2.16S.S26,U.T1.R4.S3.16S.S38,U.T2.R1.S1.16S.S4,U.T2.R1.S2.16S.S16,U.T2.R1.S3.16S.S28,U.T2.R2.S1.16S.S40,U.T2.R2.S2.16S.S52,U.T2.R2.S3.16S.S64,U.T2.R3.S1.16S.S76,U.T2.R3.S2.16S.S88,U.T2.R3.S3.16S.S5,U.T2.R4.S1.16S.S17,U.T2.R4.S2.16S.S29,U.T2.R4.S3.16S.S41,U.T3.R1.S1.16S.S7,U.T3.R1.S2.16S.S19,U.T3.R1.S3.16S.S31,U.T3.R2.S1.16S.S43,U.T3.R2.S2.16S.S55,U.T3.R2.S3.16S.S67,U.T3.R3.S1.16S.S79,U.T3.R3.S2.16S.S91,U.T3.R3.S3.16S.S8,U.T3.R4.S1.16S.S20,U.T3.R4.S2.16S.S32,U.T3.R4.S3.16S.S44,U.T4.R1.S1.16S.S10,U.T4.R1.S2.16S.S22,U.T4.R1.S3.16S.S34,U.T4.R2.S1.16S.S46,U.T4.R2.S2.16S.S58,U.T4.R2.S3.16S.S70,U.T4.R3.S1.16S.S82,U.T4.R3.S2.16S.S94,U.T4.R3.S3.16S.S11,U.T4.R4.S1.16S.S23,U.T4.R4.S2.16S.S35,U.T4.R4.S3.16S.S47
Unassigned;Other;Other;Other;Other;Other;Other,0.006363531,0.005759705,0.004341534,0.003933026,0.004238259,0.006036932,0.005736138,0.00538929,0.006653438,0.004843173,0.00388673,0.006088623,0.005598477,0.006553984,0.006456729,0.004388926,0.009527212,0.004830918,0.004381414,0.00714626,0.006550474,0.006704178,0.005678592,0.006308786,0.004901961,0.004959263,0.006751345,0.005850585,0.005903461,0.006942034,0.005294582,0.005456868,0.00647433,0.006151743,0.007101792,0.006510565,0.004068256,0.006508876,0.006620249,0.005032772,0.005924721,0.007106479,0.005894591,0.005103858,0.007010688,0.008368708,0.002866277,0.004799107,0.008522727,0.004267266,0.00552868,0.006026889,0.004159926,0.006472492,0.006139763,0.004843979,0.008230453,0.006860465,0.006057835,0.005231434,0.005420954,0.005425372,0.006181164,0.007628373,0.005143445,0.008074605,0.006651147,0.004670236,0.008527572,0.005397956,0.002661639,0.004688393,0.008095293,0.008768811,0.008154359,0.007123672,0.006954737,0.00736394,0.006037567,0.006334216,0.004124656,0.006759853,0.006539764,0.007874928,0.007283835,0.007435808,0.005309326,0.007326007,0.005145798,0.005924033,0.008190195,0.006497948,0.008940125,0.006695361,0.006601438,0.003541913
k__Bacteria;p__;c__;o__;f__;g__;s__,0.000115701,0,0,0,0.000114548,0,0,0.000114666,0,0.000115314,0,0,0,0,0.000113276,0,0.00023818,0.000117827,0,0,0,0,0,0.000114705,0,0,0.00011443,0,0.000231508,0.000115701,0.000112651,0,0,0,0.000112727,0,0.000226014,0,0,0.000117041,0.000232342,0,0,0,0,0.000121286,0,0,0,0,0.000115181,0.000115902,0,0,0.000111632,0,0,0,0.000114299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115647,0,0,0,0,0,0,0,0,0.000114574,0,0,0,0,0,0,0,0,0,0,0,0.00011956,0,0.000118064
k__Bacteria;p__AD3;c__ABS-6;o__;f__;g__;s__,0,0,0,0.000224744,0,0.00094697,0.000224947,0.000229331,0.000466908,0.000461255,0.000333148,0.002142293,0.000335909,0.001149822,0.000113276,0,0,0,0.0001153,0.000119104,0.000116973,0.001915479,0.000681431,0.00022941,0,0,0.00011443,0,0,0,0,0.000116104,0,0.000341763,0.000112727,0,0,0.000118343,0,0,0,0,0,0.000118694,0.000114929,0.000242571,0.000110241,0,0.000591856,0.000224593,0.000921447,0.000579509,0.000693321,0.000809061,0.000334896,0.000112651,0.001293357,0.000697674,0.000228598,0.000454907,0.001438212,0.0003463,0.001011463,0.002846408,0.000457195,0.001023541,0.000997672,0.000569541,0.000341103,0,0.000221803,0,0.001387765,0.002132954,0.001378201,0.000934252,0.001140121,0.001035554,0.001118068,0.000345503,0.000802016,0.000802016,0.001401378,0.001968732,0.000234962,0.000232369,0.001269621,0.000457875,0.000457404,0.000580788,0.004095097,0.000683995,0.000705799,0.00071736,0.000353648,0.001534829
k__Bacteria;p__AD3;c__JG37-AG-4;o__;f__;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0.000112752,0,0,0,0,0,0,0,0,0,0.000119717,0,0,0,0,0,0,0,0,0,0,0.000113585,0,0,0,0,0.000118343,0,0,0,0.000118441,0,0,0,0,0,0,0,0,0,0.000231803,0,0,0,0,0,0,0,0,0.000110632,0,0.000112385,0,0,0,0,0,0,0,0,0,0,0,0.00011485,0.000116782,0.000228024,0,0.000223614,0,0,0,0,0,0,0.000116185,0,0,0,0,0.000113753,0.000113999,0,0.00011956,0,0.000118064
k__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__,0.000925605,0.001267135,0.001001892,0.000561861,0.001145475,0.001065341,0.000562366,0.00080266,0.001050543,0.000461255,0.000999445,0.000451009,0.002239391,0.001379786,0.001019483,0.000787756,0.001071811,0.000353482,0.000345901,0.000595522,0.000818809,0.000598587,0.000454287,0.001835283,0.000227998,0.000590388,0.000915437,0.001462646,0.000694525,0.000694203,0.000788555,0.001044932,0.001135847,0.000797448,0.001578176,0.001484866,0.001921121,0.000946746,0.000456569,0.000819288,0.001045539,0.00094753,0.001040222,0.000356083,0.000459717,0.000606428,0.000330724,0.000446429,0,0.000112296,0.000115181,0.000231803,0.000231107,0.00023116,0.000111632,0.000675904,0.000235156,0.000232558,0.000114299,0.000113727,0,0,0.00022477,0.000113856,0.000114299,0.000454907,0,0.000455633,0,0.000574251,0.00066541,0,0.000346941,0.000710985,0.000574251,0,0.000114012,0.000115062,0.000223614,0.00046067,0.000114574,0.000458295,0.000233563,0.000231616,0.000234962,0.000697107,0.00011542,0,0.000114351,0.000116158,0.000455011,0.000455996,0.000117633,0.00071736,0.000589414,0.000472255
k__Bacteria;p__Acidobacteria;c__AT-s54;o__;f__;g__;s__,0.000115701,0.000230388,0.000111321,0,0,0,0.000449893,0.000573329,0.000233454,0.000230627,0.000222099,0.000451009,0.00011197,0,0.000453104,0.000225073,0.00035727,0,0.000576502,0.000238209,0,0,0.000340716,0.000573526,0.000227998,0.000118078,0.00011443,0,0.000115754,0.000115701,0.000563253,0,0.000454339,0.000113921,0.000338181,0.000342661,0.000452028,0.000236686,0.000342427,0,0,0.000473765,0.00011558,0.000237389,0.000574647,0,0,0,0,0,0.000345543,0,0,0,0.000223264,0.000901205,0.000117578,0,0,0,0.000442527,0,0.00022477,0,0,0.000113727,0,0,0,0,0,0.000114351,0.000346941,0.000236995,0.00034455,0.000116782,0,0,0,0.000230335,0.000343721,0,0,0,0.000117481,0.000116185,0,0.000114469,0.000228702,0.000348473,0.000113753,0,0,0.00011956,0.000235766,0.000118064
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__;s__,0.001272706,0.002073494,0.002115106,0.002022699,0.002290951,0.001538826,0.001799573,0.003439972,0.002101086,0.001614391,0.002665186,0.001804037,0.004030904,0.001954697,0.002378795,0.004163853,0.001786352,0.003063509,0.002306007,0.001429252,0.003041291,0.001795762,0.00249858,0.003211746,0.002279982,0.001771165,0.002059732,0.002587759,0.003009608,0.002661113,0.003266869,0.001857657,0.001817356,0.001594896,0.002254537,0.002170188,0.002599164,0.001656805,0.002396987,0.002808989,0.002207249,0.002250385,0.001502543,0.001661721,0.002183657,0.001091571,0.003197001,0.004464286,0.001302083,0.002358226,0.001727713,0.002202133,0.001502196,0.001502543,0.002455905,0.002253013,0.001058201,0.001860465,0.001943079,0.001478449,0.000885054,0.003463004,0.001573387,0.001252419,0.002285976,0.001933356,0.002217049,0.001822531,0.00113701,0.002182152,0.00410336,0.000914808,0.002312941,0.003080934,0.001837602,0.00151816,0.002052218,0.001610862,0.002906977,0.002073016,0.003208066,0.004353804,0.001985286,0.003358425,0.001879699,0.001161845,0.001500462,0.001602564,0.002744425,0.001974678,0.001820043,0.00250798,0.002235031,0.00167384,0.002357656,0.002007084
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__BPC015;f__;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000694203,0,0,0,0,0.000225454,0,0,0,0,0,0.000116171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__;s__,0.005437927,0.005183735,0.005454748,0.002472188,0.005269187,0.004971591,0.003599145,0.002522646,0.005252714,0.001729705,0.004886174,0.00248055,0.009405442,0.005059216,0.005097417,0.006076975,0.004406336,0.003534818,0.00311311,0.003811339,0.003626155,0.002154914,0.003293583,0.005047029,0.003647971,0.003424253,0.004462753,0.005175518,0.004514411,0.007636237,0.005407232,0.004644143,0.006133576,0.001708817,0.00394544,0.003655054,0.003390214,0.003431953,0.00410912,0.005617978,0.006040892,0.003316357,0.003582987,0.003323442,0.003218021,0.003274712,0.006614486,0.007700893,0.001775568,0.001122965,0.003109883,0.001970329,0.001039982,0.001271382,0.002232641,0.002365664,0.002939447,0.001395349,0.002514573,0.00034118,0.00387211,0.002077802,0.002360081,0.001252419,0.00091439,0.002047083,0.001995344,0.00125299,0.001591814,0.002756403,0.003992459,0.002973128,0.002197294,0.003317929,0.001493052,0.001051034,0.001824193,0.000805431,0.001006261,0.001727514,0.001947754,0.003437214,0.002569193,0.001737116,0.001292293,0.002207506,0.001385042,0.001602564,0.002973128,0.001742363,0.003640086,0.003077975,0.002235031,0.00263032,0.001886125,0.00377804
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__;s__,0.054494967,0.059555351,0.049538016,0.03719519,0.063115693,0.047703598,0.055786751,0.06203417,0.048791876,0.054543358,0.061077179,0.045551922,0.065502183,0.057146142,0.04995469,0.061332433,0.060259617,0.058560151,0.052922864,0.050142925,0.056263891,0.046210942,0.048040886,0.054484974,0.050729594,0.04864801,0.051493306,0.061993699,0.059613381,0.06317251,0.056212684,0.059328921,0.059064062,0.047619048,0.057828881,0.049343232,0.05413041,0.052899408,0.047825591,0.051966292,0.056807621,0.051285088,0.045654184,0.052106825,0.049764395,0.049120679,0.078050932,0.067410714,0.04000947,0.055586749,0.053674269,0.046360686,0.045643633,0.045191863,0.051127484,0.053171116,0.041740153,0.039069767,0.043776432,0.037188673,0.048788583,0.038554773,0.044279613,0.042696117,0.046176706,0.045149551,0.046558031,0.047955348,0.042865264,0.053175606,0.068315404,0.05191538,0.039666937,0.044436545,0.040542093,0.042391685,0.040132254,0.044874008,0.044387299,0.035241276,0.048808433,0.046516957,0.046595819,0.041227562,0.042880639,0.052980132,0.038896584,0.047504579,0.054659806,0.044488326,0.044022296,0.045371637,0.046700388,0.046508847,0.050335966,0.051475797
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__;s__,0.005322226,0.006681258,0.005232105,0.004045398,0.008934708,0.004734848,0.003599145,0.00378397,0.005252714,0.005419742,0.00377568,0.001804037,0.013660284,0.007243877,0.008495696,0.007314877,0.007383589,0.007069636,0.002651908,0.005240591,0.003977073,0.003112654,0.003520727,0.006194081,0.006953944,0.004841186,0.005149331,0.009450945,0.009028823,0.009603147,0.007209643,0.007778939,0.009200363,0.002050581,0.006538158,0.009137636,0.003390214,0.002840237,0.003538409,0.00678839,0.009526022,0.006751155,0.004160888,0.002848665,0.002758304,0.004244997,0.004740381,0.00859375,0.006036932,0.005614823,0.006795669,0.007649513,0.007973192,0.006010171,0.005581603,0.007096992,0.006466784,0.006046512,0.004571951,0.005117707,0.003982741,0.004501905,0.007080243,0.007059091,0.008229512,0.005913795,0.004655803,0.004898052,0.003183627,0.008728609,0.010757458,0.006289308,0.004394588,0.005450883,0.007235558,0.003153101,0.004560483,0.004142216,0.006484794,0.005758378,0.00756187,0.005270394,0.005138386,0.005327157,0.00387688,0.005228303,0.006694367,0.004578755,0.007432819,0.006156348,0.006370151,0.004901961,0.005058228,0.005499761,0.005776258,0.007674144
