# Constructed from biom file
#OTU ID	U.T1.R1.S1	U.T1.R1.S2	U.T1.R1.S3	U.T1.R2.S1	U.T1.R2.S3	U.T1.R3.S1	U.T1.R3.S2	U.T1.R3.S3	U.T1.R4.S1	U.T1.R4.S2	U.T1.R4.S3	U.T2.R1.S1	U.T2.R1.S2	U.T2.R1.S3	U.T2.R2.S1	U.T2.R2.S2	U.T2.R2.S3	U.T2.R3.S1	U.T2.R3.S2	U.T2.R3.S3	U.T2.R4.S1	U.T2.R4.S2	U.T2.R4.S3	U.T3.R1.S1	U.T3.R1.S2	U.T3.R1.S3	U.T3.R2.S1	U.T3.R2.S2	U.T3.R2.S3	U.T3.R3.S1	U.T3.R3.S2	U.T3.R3.S3	U.T3.R4.S1	U.T3.R4.S2	U.T3.R4.S3	U.T4.R1.S1	U.T4.R1.S2	U.T4.R1.S3	U.T4.R2.S1	U.T4.R2.S2	U.T4.R2.S3	U.T4.R3.S1	U.T4.R3.S2	U.T4.R3.S3	U.T4.R4.S1	U.T4.R4.S2	U.T4.R4.S3
k__Fungi;__;__;__;__;__	107.0	269.0	93.0	96.0	75.0	65.0	82.0	74.0	176.0	137.0	108.0	53.0	67.0	78.0	112.0	85.0	93.0	120.0	112.0	65.0	80.0	87.0	82.0	108.0	118.0	137.0	117.0	190.0	143.0	149.0	119.0	84.0	165.0	114.0	147.0	188.0	155.0	140.0	156.0	129.0	165.0	100.0	103.0	52.0	102.0	78.0	80.0
k__Fungi;p__Ascomycota;__;__;__;__	4.0	1.0	29.0	3.0	6.0	1.0	9.0	6.0	14.0	4.0	13.0	10.0	5.0	1.0	6.0	10.0	9.0	14.0	19.0	7.0	2.0	8.0	5.0	5.0	3.0	3.0	6.0	3.0	12.0	9.0	4.0	12.0	6.0	2.0	3.0	11.0	7.0	4.0	5.0	12.0	9.0	7.0	11.0	2.0	2.0	5.0	4.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina	1.0	1.0	3.0	0.0	0.0	3.0	2.0	0.0	0.0	3.0	0.0	2.0	1.0	0.0	0.0	2.0	1.0	5.0	2.0	2.0	2.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	3.0	2.0	2.0	3.0	3.0	2.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	1.0	2.0	7.0	3.0	7.0	2.0	1.0	1.0	8.0	6.0	12.0	6.0	8.0	1.0	7.0	4.0	1.0	0.0	6.0	18.0	3.0	2.0	1.0	5.0	3.0	7.0	6.0	4.0	3.0	4.0	5.0	3.0	1.0	0.0	2.0	7.0	4.0	6.0	17.0	3.0	0.0	2.0	1.0	1.0	4.0	5.0	3.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;__	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	5.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Devriesia	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;__;__	13.0	9.0	15.0	16.0	6.0	10.0	18.0	10.0	13.0	12.0	14.0	23.0	10.0	14.0	10.0	11.0	16.0	11.0	9.0	40.0	7.0	18.0	8.0	11.0	6.0	10.0	5.0	4.0	6.0	18.0	18.0	8.0	8.0	10.0	8.0	5.0	5.0	9.0	6.0	8.0	4.0	5.0	6.0	2.0	6.0	8.0	6.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Coniothyrium	1.0	0.0	2.0	2.0	1.0	3.0	7.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	1.0	1.0	2.0	0.0	0.0	4.0	7.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Corynesporascaceae;g__Corynespora	1.0	1.0	0.0	1.0	0.0	3.0	7.0	2.0	1.0	0.0	1.0	3.0	1.0	1.0	2.0	4.0	3.0	0.0	6.0	1.0	0.0	1.0	4.0	0.0	4.0	2.0	3.0	2.0	5.0	11.0	4.0	5.0	5.0	2.0	7.0	12.0	10.0	7.0	4.0	3.0	6.0	5.0	18.0	4.0	8.0	7.0	21.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis	0.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	4.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Dictyosporiaceae;g__Dictyosporium	1.0	3.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	0.0	2.0	1.0	1.0	1.0	4.0	25.0	4.0	4.0	4.0	2.0	2.0	7.0	3.0	6.0	2.0	3.0	0.0	2.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	2.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;__	1.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Peyronellaea	0.0	1.0	3.0	0.0	0.0	2.0	0.0	0.0	5.0	25.0	4.0	5.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	0.0	2.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__unidentified	11.0	10.0	8.0	6.0	15.0	7.0	29.0	16.0	14.0	8.0	7.0	13.0	13.0	12.0	10.0	9.0	14.0	5.0	20.0	4.0	11.0	6.0	15.0	13.0	27.0	19.0	37.0	9.0	17.0	28.0	12.0	19.0	13.0	13.0	6.0	27.0	19.0	31.0	11.0	22.0	21.0	19.0	28.0	14.0	20.0	17.0	24.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Aporospora	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Paraphaeosphaeria	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
